                          _
  ___   ____   _ _   ___ (_)  ___   ____   _ __   ____
 / __\ / __ \ | '_ \/_  '| | / __\ / __ \ | '__\ / __ \
| |   | |  | || | | | | || || |   | |  | || |  '| |  | |
| |__ | |__| || | | | | || || |__ | |__| || |   | |__| |
 \___\ \____/ |_| |_| |_||_| \___\ \____/ |_|   |  ___/
                                                | |
											    |_|
2018-05-26 19:02:38 [main] INFO  c.p.p.PodcastalertApplication - Starting PodcastalertApplication on DESKTOP-5CV30MA with PID 7220 (C:\Users\Fozz\eclipse-workspace\podcastalert\target\classes started by Fozz in C:\Users\Fozz\eclipse-workspace\podcastalert)
2018-05-26 19:02:38 [main] INFO  c.p.p.PodcastalertApplication - No active profile set, falling back to default profiles: default
2018-05-26 19:02:38 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@42721fe: startup date [Sat May 26 19:02:38 CDT 2018]; root of context hierarchy
2018-05-26 19:02:40 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2018-05-26 19:02:40 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-05-26 19:02:40 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
2018-05-26 19:02:40 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-05-26 19:02:40 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2018-05-26 19:02:40 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-05-26 19:02:40 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2018-05-26 19:02:40 [main] INFO  o.h.e.j.e.i.LobCreatorBuilderImpl - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2018-05-26 19:02:40 [main] INFO  org.hibernate.type.BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@61514735
2018-05-26 19:02:41 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
2018-05-26 19:02:41 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2018-05-26 19:02:41 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-05-26 19:02:41 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2018-05-26 19:02:42 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Getting all podcasts
2018-05-26 19:02:42 [main] INFO  c.p.p.PodcastalertApplication - Started PodcastalertApplication in 3.727 seconds (JVM running for 4.572)
2018-05-26 19:02:42 [main] INFO  c.p.p.PodcastalertApplication - #PodcastAlet proccess begings
